RESPNO Urban/Rural "Views on Country's Economic Condition" "Discuss Politics?" Voted? Corruption Education
877 Tribal "Fairly bad" Never "You voted in the elections" "Decreased a lot" "Secondary school / high school completed" 
878 Tribal "Fairly bad" Frequently "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
879 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
880 Urban "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
881 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
882 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
883 Urban "Neither good nor bad" Occasionally "You did not have time to vote" "Decreased somewhat" "Secondary school / high school completed" 
884 Tribal "Very bad" Frequently "You voted in the elections" "Decreased somewhat" "Some secondary school / high school" 
885 Tribal "Neither good nor bad" Never "You voted in the elections" "Decreased somewhat" "Some primary schooling" 
886 Tribal "Fairly bad" Never "You were not registered to vote" "Increased somewhat" "Some secondary school / high school" 
887 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
888 Urban "Fairly Good" Never "You voted in the elections" "Decreased somewhat" "Some secondary school / high school" 
889 Urban "Fairly bad" Never "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
890 Urban "Fairly Good" Never "You were too young to vote" "Decreased somewhat" "Some secondary school / high school" 
891 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
892 Urban "Fairly bad" Never "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
893 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
894 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
895 Urban "Fairly bad" Occasionally "Did not vote for some other reason" "Stayed the same" "Secondary school / high school completed" 
896 Urban "Fairly Good" Occasionally "You voted in the elections" "Decreased somewhat" "Secondary school / high school completed" 
897 Urban "Fairly Good" Never "You voted in the elections" "Increased somewhat" "Some primary schooling" 
898 Urban "Fairly Good" Occasionally "You voted in the elections" "Decreased somewhat" "No formal schooling" 
899 Urban "Fairly bad" Occasionally "You did not have time to vote" "Increased a lot" "Some secondary school / high school" 
900 Urban "Fairly bad" Occasionally "You voted in the elections" "Stayed the same" "Post-secondary qualifications, other than university" 
901 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
902 Urban "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
903 Urban "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Post-secondary qualifications, other than university" 
904 Urban "Neither good nor bad" Never "You voted in the elections" "Increased a lot" "Informal schooling only" 
905 Urban "Fairly Good" Occasionally "Did not vote for some other reason" "Increased a lot" "Some secondary school / high school" 
906 Urban "Fairly Good" Occasionally "You decided not to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
907 Urban "Fairly bad" Occasionally "You decided not to vote" "Decreased somewhat" "Secondary school / high school completed" 
908 Urban "Neither good nor bad" Never "Did not vote for some other reason" "Decreased a lot" "Some university" 
909 Urban "Very bad" Occasionally "You voted in the elections" "Don't know" "Secondary school / high school completed" 
910 Urban "Very bad" Occasionally "Did not vote for some other reason" "Increased a lot" "Secondary school / high school completed" 
911 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
912 Urban "Neither good nor bad" Never "Did not vote for some other reason" "Increased somewhat" "Some secondary school / high school" 
913 Urban "Very bad" Frequently "You did not have time to vote" "Increased a lot" "Secondary school / high school completed" 
914 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
915 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
916 Tribal "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
917 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
918 Tribal "Fairly Good" Occasionally "Did not vote for some other reason" "Stayed the same" "Some secondary school / high school" 
919 Tribal "Fairly Good" Never "You voted in the elections" "Decreased somewhat" "Secondary school / high school completed" 
920 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
921 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
922 Urban "Very bad" Occasionally "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
923 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
924 Urban "Neither good nor bad" Never "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
925 Urban "Fairly bad" Occasionally "You decided not to vote" "Increased a lot" "Some university" 
926 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
927 Urban "Very bad" Occasionally "You were too young to vote" "Increased a lot" "Secondary school / high school completed" 
928 "Rural farm" "Neither good nor bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
929 "Rural farm" "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Primary school completed" 
930 "Rural farm" "Don't know" Frequently "You voted in the elections" "Stayed the same" "Primary school completed" 
931 "Rural farm" "Neither good nor bad" Occasionally "You did not have time to vote" "Increased somewhat" "Secondary school / high school completed" 
932 Tribal "Very good" Occasionally "You voted in the elections" "Decreased somewhat" "Some primary schooling" 
933 Tribal "Fairly Good" Frequently "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
934 Tribal "Fairly Good" Never "You decided not to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
935 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
936 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
937 Urban "Neither good nor bad" Frequently "You voted in the elections" "Increased a lot" "Some university" 
938 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
939 Urban "Neither good nor bad" Never "Don't Know / Can't remember" "Don't know" "Post-secondary qualifications, other than university" 
940 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
941 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
942 Tribal "Neither good nor bad" Never "You voted in the elections" "Stayed the same" "Post-secondary qualifications, other than university" 
943 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
944 Tribal "Don't know" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
945 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Primary school completed" 
946 Tribal "Very bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
947 Tribal "Neither good nor bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
